1-gram,*/*,1/*,2/*,3/*,4/*,5/*,6/*,7/*,8/*,9/*,1/1:1,2/1:1,2/2:2,3/1:1,3/2:2,3/3:3,4/1:1,4/2:2,4/3:3,4/4:4,5/1:1,5/2:2,5/3:3,5/4:4,5/5:5,6/1:1,6/2:2,6/3:3,6/4:4,6/5:5,6/6:6,7/1:1,7/2:2,7/3:3,7/4:4,7/5:5,7/6:6,7/7:7,8/1:1,8/2:2,8/3:3,8/4:4,8/5:5,8/6:6,8/7:7,8/8:8,9/1:1,9/2:2,9/3:3,9/4:4,9/5:5,9/6:6,9/7:7,9/8:8,9/9:9,*/1:1,*/2:2,*/3:3,*/4:4,*/5:5,*/6:6,*/7:7,*/8:8,*/9:9,*/-9:-9,*/-8:-8,*/-7:-7,*/-6:-6,*/-5:-5,*/-4:-4,*/-3:-3,*/-2:-2,*/-1:-1
E,4.45155E+11,155009878,13152909656,71369953110,55076975766,51554070385,51988144306,56480782708,46294103378,39823122220,155009878,606208748,12546700909,766538528,7734746546,62868668038,2431188391,14650610894,14587194523,23407981961,1950623119,7763603148,10809385309,15234563758,15795895055,2789637671,12047880074,3192452063,6499755575,17363555407,10094863521,3005294788,13119734944,4029205683,5663081533,9069579181,13778980423,7814906162,2898274387,7746133972,3807911837,5881213757,3849065960,4319497111,11750229908,6041776453,2622665799,6154248014,2565557771,5259363893,4823168252,2063720723,3291688818,7913568442,5129140516,20821104414,90182613397,1.04606E+11,69582530798,57589816222,33828084004,27278643230,18482023763,11828736036,8494759089,14408255417,19026713067,30711710476,32717792364,28242806208,54491441856,97010506724,1.49765E+11
T,3.30535E+11,144097591,29023735344,68291190499,49364971324,31556644706,25865275020,29257353472,24521039281,23709068544,144097591,19466120957,9557614388,55322041632,1491442789,11477706080,22324532150,407893133,9133586550,17498959494,10641083606,4094804871,3910174494,4881402002,8029179737,3188227410,2393208500,6133637402,5690455159,3112252308,5347494246,2723627081,1423694515,4645161554,7669908638,3703044910,3300885377,5791031403,1694985930,1426453924,3874379301,3593011591,4672173492,3060712777,3736299275,2463022998,1355669379,1026700429,2556158152,2627241174,2887059744,5342705198,2881256248,2218043940,2814234288,1.18849E+11,22662984233,46025077911,46071673753,25554966902,21698891146,19814069788,12247253794,8272108340,4176056289,6727233953,10550955148,15403397938,29530699235,63054875534,78715710117,51047126711,66727951443
A,2.86527E+11,15310087896,12842459209,49188457779,37099746964,29210932178,25835260550,30977583658,26541380251,20029418173,15310087896,12435332980,407126230,30955298473,17742043661,491115647,2823355855,18499449916,14625050994,1151890202,5401519058,9165359993,9143261752,4539166162,961625217,4265899516,9069236852,4968622911,3602961341,3091688904,836851031,4411334767,6291612278,5872725722,4105976915,5114198560,4437100087,744635335,4161554717,4471199015,3381078459,3540036544,3140020261,3684269434,3720203296,443018532,2749354314,2298529419,2271070326,1899959027,2958056933,2958883337,2654182563,1944766112,294616150,86893227066,71064963997,43479118128,21516703653,17959665054,16044471312,13745964203,6250833195,5137562359,6170922530,8618400621,14050117753,19480089440,35531334980,32158006495,75910330052,66338884605,20969421417
O,2.72277E+11,127592145,63229701188,26500925240,30571860828,26270606557,24100790836,23087143923,20837992768,18129372333,127592145,39416966781,23812734408,5519278581,17790169709,3191476952,2686314509,17291290995,8019144034,2575111293,2717022077,13246835815,7725337638,2049321773,532089258,1441826351,8303662811,5018375337,4611084312,4427205927,298636103,1345430920,7679513246,4316702084,2597431667,4477294282,2372002134,298769596,1314183918,6320325244,3004694120,2334125257,3101250883,1702348390,2930393622,130671341,920797218,5308204741,1602801720,1841075600,2155969762,837778178,2562029701,2829707874,71007547,56762601061,1.0807E+11,35239947926,19816590470,18361453346,7552344764,8066923129,5616669540,5194799666,6217371768,10304065824,12713593591,16934567080,21717622104,29295124395,48196679094,88767109165,31070107497
I,2.69732E+11,3884828635,33472540787,9882160183,24650626889,24785796810,23135618812,29567453553,31151257082,28426501981,3884828635,33008722086,463818702,1820296272,7677864040,383999873,1672396180,15916654471,6773571315,288004926,906638038,7279590570,10757440161,5627733038,214395007,1533117569,6081913675,3548467863,8993389300,2863994775,114735635,1340905022,5281842430,3552424840,5352711373,11884531688,2054688026,100350180,2245106588,3040205282,2561562293,5472766331,5519362195,10196383771,2043766900,72103729,2434838083,2657257633,1403155523,3231213414,3950439535,4137526868,9802607508,783951498,25511927,54256321755,52177181313,30741553528,33514580316,30784443195,23156532393,18459857407,11244604710,7694483848,6197132825,8818992947,12430992023,18226975321,26786405317,33864693873,86796277359,62488710941,5594196765
N,2.57771E+11,125421810,25898507932,37862653413,21158896323,18600828974,22490740541,28147603993,26879672297,24811412803,125421810,1525733791,24372774142,6803468850,26375892232,4683292333,1635920942,3662469545,6179612248,9680893591,1630566494,2299167948,3354016742,6474056155,4843021639,1782340139,2564830253,3681440810,3496405255,5886898536,5078825553,1239118132,2762402321,4425575478,3161679896,3059400441,9228365900,4271061831,893950644,2964310050,3181941309,2211466386,2896830817,4747463511,5929024459,4054685128,656077014,2669017990,2718371158,1454681333,2158863212,2925733397,2284945867,6831131748,3112591092,16990703680,74214779384,33552399009,28723035457,21416428150,26203842859,14770639666,15431485876,10082729432,4993697980,7712916146,9301051359,12141936741,16545907444,19981096416,32316865245,78220210928,69252107253
S,2.32083E+11,569891880,16357815786,18101829263,24621145667,29603336600,28125514857,30647690708,25334400880,21024181481,569891880,1631609082,14726206705,4382730365,827673076,12891425824,7785676271,753090816,7426384722,8655993861,8296335001,796439048,1897792200,6311364000,12301406355,8867014279,838346480,4038227387,2359680742,2181338786,9840907188,6537567748,602333348,3829703875,3258873200,1243577154,3817826998,11357808391,4637614100,336413247,3599485871,2432347887,2141898955,1348709418,2234065742,8603865667,3481951447,420568014,2452694428,1622025870,1567118908,2432741633,1654479720,983850882,6408750587,49734339143,20544032004,40785580171,27831366634,22392077061,21266487225,18805032727,11082478164,7714800503,6717111997,8919663974,11773279970,17692297765,20001736133,23536329269,14617137890,26578873923,95977537954
R,2.23768E+11,97228769,3994359575,15956631178,21619305374,31615481323,30131929329,34165684813,27975645920,21526192897,97228769,159465991,3834893585,632150088,4375569501,10948911591,2443952386,5357182406,10134245946,3683924639,2399394023,6245454454,6846538574,6492012392,9632081884,3651070215,4180863177,7235286517,3092539079,5191446050,6780724296,3267862867,5892112430,7492835516,3519364130,4032309551,5660721126,4300479199,3295744726,4916164359,3845915140,2754290019,4683481184,3329380685,2613527167,2537142647,1959314503,3198959663,3048589054,2629705217,3406379002,2848265973,823045397,2519208359,1092725737,21020892618,42504715668,53548866771,25888028293,34411022986,23076526742,9999487770,7479891706,2981039595,6591750597,10453646865,16284672798,21338360496,23639641356,28917427132,25487257789,39338770496,43881791801
H,1.80075E+11,72827270,4377150116,68014677342,37466787943,25713192997,12263174811,12191134783,7087197273,4644997541,72827270,4202361613,174788504,11607059928,56342210903,65406513,6487805530,21567690521,290324799,9120967096,2290429178,14548512072,1481117810,1634801407,5758332534,2013253938,3778538922,991687282,2533834168,832200421,2113660085,2488481881,3252268747,458497627,1741825474,2128873348,685471499,1435716213,838427649,1750553698,416787062,887764142,1287678933,840080044,173034727,892871025,475241194,1144955025,338781199,705084558,472689034,761321908,308301013,167632108,270991510,31238837885,1.04257E+11,4375945343,17714190957,11225395267,4969489581,2743168022,1749231346,915629454,1793247719,2495301510,5540076763,6991292270,8484556671,26639215940,41507472139,64580544823,20172047347
L,1.44999E+11,117220318,755108897,6587954156,21070584706,21810917779,21105134397,20105987978,16610492943,13104636087,117220318,378056569,377052329,1418328778,2632737599,2536887781,5673397283,2173121916,8067732377,5156333133,3517951925,3653214463,2547316422,8144164068,3948270905,3107824410,2308098079,3378733268,3061220298,6704722840,2544535507,1684478942,1956639179,3020237691,3749291897,2677894327,3483348520,3534097428,925961428,1606911526,2633259475,2419103413,2240128659,1352665282,2701960768,2730502399,463309697,746310975,1980729754,2017759943,1555290206,1258603889,1114093168,2412960771,1555577692,17967162609,16447468103,26011859445,26704600938,19776069485,10455753035,9502487035,7300763750,4005788070,1868810556,3865645342,7720081318,12254601537,14243478577,22066343692,16162407663,39055317005,25770778364
D,1.36018E+11,167799878,1944097077,30209638524,12315165998,14405680147,16465091526,15118809456,16248723505,12728070804,167799878,1724716054,219381024,2038846076,215633647,27955158803,3248227045,311763423,1935299232,6819876301,1822591320,465400937,2310008430,2269966447,7537713017,2723411886,319609109,1629890420,2130557444,914181714,8747440958,2517677461,409138828,994664126,2085075949,968024189,1656654351,6487574558,2721629184,591751743,1088008762,1525548365,1400944110,1348348069,424257444,7148235835,2762005502,566365153,685776452,843010962,571841077,1375817398,772062562,374399283,4776792423,23610994166,3866839798,38430736508,16876046661,12040233687,14583290324,8469214736,8162389222,5174387316,3686019001,4786613700,5238807207,5745848809,6344253627,11119179140,10226679495,9745055703,74243669197
C,1.19156E+11,243374627,430816543,2939535392,7971431364,13366596408,14201242706,18342597487,17630540104,15337906180,243374627,312298554,118517990,2244890860,432772682,261871852,3266990317,243274244,4353337782,107829024,5058491944,552466137,932304693,6405981798,417351840,4853533846,1397534553,3037425510,1091202580,3162180923,659365299,6723505833,979021945,3413817578,2479770721,1631642203,2648773101,466066112,4657354697,1294783500,2630168734,1981487237,1899904651,1882488727,2236404222,1047948343,3938970539,613405776,2603959071,2097191755,1858276044,1403743375,1137580144,1331580114,353199370,38962746441,6837963389,20236099259,17080259636,10942297626,9903617053,5754305425,4504239663,2414408406,5853845285,7936175196,13260834809,13107898924,17112848176,13706258093,10809022356,23093638403,4487406056
U,97273082908,44604001,1756381345,9132704713,8935055122,12957698318,13718343723,14377981801,10746861656,9141654450,44604001,1595669001,160712345,683339657,6043835975,2405529083,1353152046,5106158713,2347256837,128487529,1678759942,2509072644,6241224335,2490527216,38114185,803181784,4417097548,2094363148,4984655780,1367389215,51656253,529791734,4037957358,2262608214,2484143149,3391525376,1640069985,31885991,269418531,2988139253,1285934145,2112359139,2061331271,1090214881,923545294,15919149,335860204,1988624066,961334556,1399896754,1862737901,681493584,1068176160,835955366,7575867,8801470814,29829920179,18302628294,15671541023,11012619008,4818586343,4336892482,2560227153,1263935296,2376311279,3364823319,6690151498,10127864052,13743029831,12990035768,23656939672,18172856861,2889853562
M,89506734086,138549304,2603514084,4611754305,18806332478,7957460808,11699299211,10586705318,9587524184,8284725231,138549304,2163959287,439554798,2891498826,88837086,1631418395,7535845790,86019612,4873582152,6310884927,3251984263,1054149799,1945365405,1285386634,420574711,4000632840,538980743,3198140420,1718318640,1152068763,1091157810,2829385346,830150464,2420376780,1723209750,981011965,641816752,1160754267,2543589418,938009411,2072799012,1117639466,1302315544,760333788,576400839,276436713,1270146238,974073583,1979062341,1212223391,596350306,1224061214,508556016,126890562,393361588,28460312384,6029625484,21182341818,14909397632,5562622207,5538983662,4490442464,1777286698,783629416,3138396399,5623744051,7198353317,9690089070,9157070175,18650578674,9117890538,11037759455,12314946812
F,85635440630,98925229,32718607866,8377664933,9534748657,6386492452,6941129664,6171193927,4054857447,5029950758,98925229,101580699,32617027168,7665473491,344580689,367610755,7712471233,15475129,1235923997,570878301,4193176341,1205769371,299649908,305449197,382447639,3458607535,725063857,1809091900,367646055,111293980,469426342,2815656129,560001848,1054017222,770256777,368074443,148981840,454205674,1635269942,312769260,847811828,384268913,277779278,434561757,96770039,65626437,1261523731,340148090,1411739233,990835932,178978942,625161231,136805013,53132785,31625809,29952197541,36353116082,8644145917,4762438529,1839614766,2524701964,991223379,430424903,99734585,2407178322,3445191508,5523447730,6321726812,6775083600,12590509021,9507282800,2430016546,35066812461
P,76112599850,106894433,1244487385,1615004115,5488295884,7194112658,9811790772,12302585793,11351561319,8376538157,106894433,147423276,1097064110,1033886615,137908786,443208716,2743084702,846652458,759834423,1138724304,3941339574,1022893424,1017135013,668558444,544186207,4698175559,968421033,1392977381,1916619857,713435144,122161803,5352598465,1192128129,2105827776,2309315312,698569424,500097349,144049344,5121232209,1080789120,2078166779,2003936602,674469100,251466911,87736308,53764297,3552749259,652667056,1762101927,1067811530,524957736,239126306,414656055,124562366,37905930,32124438694,8314788018,13860440171,11555888670,4089826811,2563538530,1926417110,724940287,355615244,5694946816,9279803954,9814659976,10129872364,10804123264,8908763392,6492592723,3339056909,4027901416
