2-gram,*/*,2/*,3/*,4/*,5/*,6/*,7/*,8/*,9/*,2/1:2,3/1:2,3/2:3,4/1:2,4/2:3,4/3:4,5/1:2,5/2:3,5/3:4,5/4:5,6/1:2,6/2:3,6/3:4,6/4:5,6/5:6,7/1:2,7/2:3,7/3:4,7/4:5,7/5:6,7/6:7,8/1:2,8/2:3,8/3:4,8/4:5,8/5:6,8/6:7,8/7:8,9/1:2,9/2:3,9/3:4,9/4:5,9/5:6,9/6:7,9/7:8,9/8:9,*/1:2,*/2:3,*/3:4,*/4:5,*/5:6,*/6:7,*/7:8,*/8:9,*/9:10,*/-9:-8,*/-8:-7,*/-7:-6,*/-6:-5,*/-5:-4,*/-4:-3,*/-3:-2,*/-2:-1
TH,1.00273E+11,15854090,53177359898,23949239954,10166172784,4107012906,3754299811,1790488885,1380226566,15854090,53167751847,9608052,18044771798,1725872,5902742286,7078145321,1406474722,53377436,1628175308,1209000758,349826122,1642342392,263054508,642789130,1250352439,37014993,959853154,1294987182,93182614,118909434,442406298,29429665,469804475,438746419,242221831,36471103,131409100,402351177,93750121,285288599,151853733,271257571,20034735,33762011,121928626,82191954207,1944903554,9682689030,3979355615,1390538479,432554003,280104976,177968127,140557450,573953639,752170029,1778248100,2011264966,9235458297,22750054611,53677948759,8729279971
HE,86697336728,4110457084,56167425980,7487800615,8247494281,2719341377,3092031032,1611303289,1249842477,4110457084,1661218026,54506207955,1330715874,6151778647,5306096,680137545,6118844353,1420436291,28076095,544088587,369680801,386297114,1390608009,28666870,396157180,665438650,61247824,164941941,1787800551,16444891,134732958,290569373,97334047,89360703,390863421,590993166,17449627,91186443,411975213,160907775,117316291,112760805,103711434,237907681,14076842,9112438474,68972918223,2171031657,1914128951,2475548757,889078256,524475713,280061309,228439812,474181924,637367388,1028372155,1626225641,1465752931,8660339481,13736813356,58739545491
IN,68595215309,16891065264,233215899,3519540511,4911626167,6279226558,9017989466,8848541117,7458869053,16891065264,71558881,161657019,1203450211,1735261630,580828672,314819141,1064081884,2669872924,862852221,793882012,734441457,791366943,3040850443,918685707,807997326,777026015,534373297,788790883,5387070680,722731270,1760525900,415495036,505178268,789741925,1341879948,3812122415,223597631,1760568700,236766438,282212248,321171980,768630258,463709546,3534393059,91416831,27799770675,5296303800,5688289145,6410682041,9482572676,5372281268,4431143274,2232706735,1044312203,2098595874,2422647139,2424865756,3014423081,3703209590,6155529795,23738997750,20517043745
ER,57754162107,13948620,2085608760,4913853259,9632156592,8699854354,9873594054,6928160476,5705429314,13948620,46312232,2039296529,25862514,3832530936,1055459811,84369747,538027493,2859177340,6150582015,58645733,1388590834,281823471,1391367650,5579426670,46625582,1787789889,730637245,1730685690,2017125921,3560729732,18805990,755255248,788470370,1817303667,838946443,936591445,1772787319,15300278,687335869,732485963,1442190356,1175313840,229237773,724400264,699164978,324230832,12015666160,6902330571,16275688278,11313569675,5263189304,3396711680,1443367115,409002628,1073199960,2259069725,3876308102,5513597470,5673627955,4122631973,12461395219,21335726335
AN,55974567612,2726250864,26189175822,3758324552,3018762827,3116632812,4307660042,4361010573,3220633280,2726250864,23665563242,2523612581,126537230,1947021865,1684765459,179267223,761025680,1013707278,1064762649,452922189,893574553,831512604,453200394,485423076,911661552,564036952,782182908,517786217,1079846540,452145878,566093430,552644500,674724027,533138977,565950918,657911871,810546856,198426407,281327508,297780690,416587530,459889272,454143615,728498873,383979392,29085241509,8053927704,6068147151,3454677512,2920903963,1880911936,2269296836,1323689282,666546832,1008195055,1265738356,1992612005,2612966570,3314840027,4317537969,30169288959,10406064821
RE,52285662240,77257724,3953279624,6283733778,5429031722,6623850951,7207268487,8136157195,6113857349,77257724,181840962,3771438663,568964815,661326402,5053442563,409683119,1543877983,800779946,2674690677,2261280501,722909374,996147287,681726361,1961787432,2509324287,1281778046,703853691,778090302,955653987,978568179,2943957448,1135756278,576493473,328517994,778498947,1940007492,432925569,1779645037,990379283,491309181,1036730496,263091317,455269461,342528091,754904490,13676064273,11003540528,9023474024,6783532050,4594786034,4027371866,989245532,1323627046,348880989,2598689001,4534344418,5097148245,5693279650,2759445945,5227603934,6263391418,16291780776
ON,49570981966,4594521082,2636883111,3660711242,1926889772,3906860971,3750385567,5333117623,5416467250,4594521082,2158119253,478763859,1507123906,1269731949,883855389,20171527,550143829,996784095,359790324,25364614,750502656,104519276,810681631,2215792798,40989600,1145332989,168916755,183679885,850668276,1360798067,8179964,1373644606,278811452,249545818,772849388,447317296,2202769105,3941924,1262127535,123523679,178497728,330779462,224597930,862681723,2430317276,8364400587,10595778215,2673224042,2156297854,4782672896,2432012026,3737750673,3602103032,4343230799,1747308873,1559647743,1988068755,2313743094,1907237724,4424394748,10074641776,23071398584
AT,41920838453,3413452257,269954933,10535138358,2771650334,3023323316,2579212316,3563083399,3712972719,3413452257,27017440,242937494,19936663,975703029,9539498668,36600526,1143684553,952476101,638889157,167038607,1645131926,692407139,381278753,137466895,155885368,867903115,364024793,783293236,372523464,35582345,289894990,997776761,298319075,900133841,451661951,539015505,86281282,292045442,418530097,213285512,472141878,1114916587,708469428,481388915,12194867,4632096353,6712093170,12267173759,3611860597,2588675560,3201850427,4414561504,1778506006,1647481403,634163527,964710929,2044023251,3442640884,10521023348,5171876856,4386525727,14121563079
EN,41004903555,66416082,996544863,6061180405,2980289638,4127166517,6106471049,4726898242,5301426282,66416082,330047633,666497231,61758347,808672629,5190749431,253329829,644731996,372009904,1710217912,655235539,916687600,737669655,932210543,885363184,718537109,1508046824,208014787,993079453,1537425863,1141367018,421887173,435985147,279353799,766694356,1429798281,807359969,585819523,215599587,631940251,149903668,978034900,602157621,929756159,1655771648,138262455,3379510332,6113945817,7176276788,6110731854,5279462810,3719026938,4376886955,2661764760,1622475775,729792036,1831138334,1969269667,4446516213,4173664324,6949237345,9336962979,10489657879
ND,38129777632,4896140,23008348379,1648222229,2336263070,2670557113,1862756430,1698401495,1458421960,4896140,1980146,23006368234,102371,62965178,1585154682,1,801502664,549056596,985703812,1,346841954,676771495,227381969,1419561698,257793,184108913,563309026,215506948,371386365,528187390,1,271136431,353193591,335365781,395073604,73533783,270098310,1,247413974,377767971,155693579,304668790,205284691,91509733,76083228,7236447,26286370667,4581934303,2137654295,2688740809,983295450,660369648,209846339,484603956,856393127,683472328,864503057,963587940,2011962417,2414884463,1452250969,28144529727
TI,37856196210,7752421,77719776,1439533183,1305258056,1522929097,3056903598,5256275128,6079300774,7752421,74091520,3628257,1368776709,14498460,56258016,420750621,449126081,405805870,29575487,152466534,23264034,1129397611,211565573,6235349,77016063,61923200,682721914,2059182977,168556440,7503009,24436820,62354472,1090726238,737608465,2987775487,344647110,8726542,14596412,42389237,278210738,802760169,1396095816,3326916773,213876744,4454892,2147768487,729854570,4267079243,5305758767,5833482657,5358890580,4864511828,4642741777,2308206740,603120237,1316447201,1562976561,3778798949,6240302869,21740685574,1901665938,133432309
ES,37766388080,16349410,298963926,2117762806,5215437062,4756509190,5735613023,5765609779,5459598132,16349410,40701010,258262917,12181154,1070562847,1035018807,39720011,192807398,1734040651,3248869005,148813531,718206385,81843152,556291894,3251354232,72567089,1110694313,463052718,127280330,1163081865,2798936713,71050614,892652549,593469176,249105701,97394165,1249038650,2612898930,208088233,783689472,455651051,480108649,750999027,145003403,335548420,2300509884,1051204379,6079851790,4628883792,5132650788,6672647151,4664533499,3094197150,2509683364,2081767080,793052154,1291106418,1921719171,3302639928,2472900315,736077169,6665033519,19063951872
OR,35994097757,3667713966,6775252203,3984225867,3898537989,3980627354,3326827900,2804825206,2936407846,3667713966,24146378,6751105826,39889755,3692282068,252054046,402929146,2071329798,611480709,812798339,217427147,1267867653,300810277,1582109586,612412695,160575029,1239780637,226364043,421600635,1104699292,173808269,289142705,599365850,134461895,745524719,234140268,272708957,529480818,122935474,491042207,55511773,766081083,472888826,72718774,720832512,234397204,5312508409,16755525853,1725377103,5397209903,3217903759,806922357,1677139471,563420220,293728333,518193794,1606696973,1556157583,2846485516,3496717992,3245255238,8526236392,13226810543
TE,33973261530,10838561,194512891,1666811616,4842819127,4283878321,4933266662,5056651706,5261806003,10838561,175906128,18606764,678248944,151299812,837262862,538316382,255463566,2527806376,1521232806,219390033,64596870,398600711,3164837196,436453515,316419216,137843699,340827146,1272614748,2316792670,548769188,355764810,77428891,1091815967,495981050,387109441,1722342139,926209414,374710292,30156020,1091359165,515486784,240609831,221706787,2147352895,640424236,3205516542,773311094,8215997714,7459292259,3792256093,2813882161,3855673434,1818590939,1113790591,1088435933,1185783283,2006845514,2342934012,1975694642,3988290196,14208737086,5708748454
OF,33130341562,30966074233,310959798,84711368,465474886,329700687,299869245,277665361,181419130,30966074233,308201389,2758410,2951087,53723239,28037044,397278150,10943819,12003517,45249403,214002143,53030699,45660230,15273671,1733948,186440686,11306699,63266858,7828989,3666985,27359033,186704587,44724239,38051952,1806575,1199258,4872581,306175,83679379,4268612,73302333,1829875,2885734,4748711,9638077,1066416,32360430349,182161979,432109979,75473513,17774608,46614621,11759676,1640660,1773869,100264691,259990288,307284295,268272126,526572299,73975001,407970199,31074083104
ED,32937140634,97120956,409217738,1196852661,2168978606,5740217507,6135046958,6936130632,5444248141,97120956,38147432,371070307,73212794,28986083,1094653786,50892240,105077086,178849577,1834159706,129837415,165765552,216581940,62016506,5166016098,98122034,370245774,83262512,104703181,52904905,5425808557,42673325,168576016,63948577,123158558,44734288,49910072,6443129802,252375456,150845598,77464240,105566071,136604261,279328112,4192270,4437872140,849587936,1506623481,1832066857,2388332823,5544719809,5851349721,6537696395,4523074182,2139853174,404818419,356160731,444992317,848999960,625593977,926074279,417331704,28748620493
IS,31817918250,8384246686,3687379344,4519465062,970761246,1786384857,2217451435,2455646778,2514700267,8384246686,23858129,3663521216,21658133,594909617,3902897314,137543827,177062480,287201402,368953540,278170397,587444171,288348314,442817703,189604276,84733730,909598350,178851684,189072003,776433622,78762051,57946086,709541671,175746534,621873505,204394854,379159150,306984984,32293605,594714811,188492429,449241385,416249641,217865054,484940552,130902797,9031299345,8776117188,5077645333,2727306591,2273411612,1184381377,1446528337,563573941,312741840,1034045876,947689189,1628935891,2401762443,2588793626,1491055689,3498564344,17200177591
IT,31672532309,5740085370,1646443629,5908112868,1548002657,2705721649,3009035603,2965868962,2838782817,5740085370,1381186155,265257475,38098888,5623113349,246900633,97414739,268669842,883085554,298832525,231191336,1239069072,543791795,328377060,363292390,46196745,715202599,922210393,455411442,637366757,232647672,9888440,260843205,291443087,1037204652,118662927,1180825709,67000948,7727037,230789027,175901594,499333771,928099797,161020966,825830331,10080301,7555018908,8850162531,3208495799,3110392071,2906779820,2708351055,1610971061,720751472,588060635,387690577,624048306,1292749797,2400833984,5682566381,1733873400,12194813333,7230110536
AL,30662410439,189349850,2133186102,2700520954,3748569359,3956524089,4907870419,4018293131,2993883133,189349850,2092676453,40509650,1105212985,1104342029,490965942,620778157,755911430,999653502,1372226273,712134293,953267382,479328625,301160773,1510633020,449022918,485517035,568064735,547971478,268135947,2589158311,429356868,243719097,377405793,212608909,299617359,175851346,2279733765,165801386,174426812,210616829,103856249,208265680,505939685,300064773,1324911726,6003034248,4020651611,3340777453,2642310614,2418244732,3654895490,3185903453,1604727226,1573012883,484524677,781748968,1067569324,1903966509,3022907149,4664848402,5434740651,12898601662
AR,30308513015,8352014,4784458753,3185174174,4137482416,3504241935,4728335976,3481426162,2485085604,8352014,3950714519,833744235,525514878,1700397199,959262099,327888263,1766950738,1711360318,331283100,548926780,1472360756,642508822,571874688,268570893,328405074,1771317235,756840292,422879384,975464298,473429698,290497830,904963358,363602722,345110818,617966220,761759141,197526079,164668176,613938481,322685695,227016147,253814447,205425405,611404425,86132835,6424875619,9952889723,5105163239,2359872690,2570995700,1644143903,1113941375,324050701,511730357,699018648,1141774761,2120963808,3237661707,3531863399,4416446718,10749602126,3461098698
ST,29704461830,36574131,53189376,4277057916,4483636361,3794954343,3878013744,3791855273,3003083534,36574131,13329974,39859403,303508513,8141934,3965407471,2530302991,11192299,363929658,1578211416,1626532180,86120259,1079696873,117143432,885461603,1089585351,29682052,1374774460,285403487,170665081,927903318,1079065911,55035834,775133017,528143961,607788715,162825676,583862165,611156201,138422616,677708740,385034722,469621571,290901791,159483219,270754681,7859239626,639929232,9684562554,3702572700,3124978122,2309132161,1390150424,494094051,187120414,1549398934,2403041587,2415386592,3590796579,5663387544,2937930593,1188657179,8449760793
TO,29360205582,19347398078,571294578,2092464324,1251290836,1150854889,1459576320,1013114367,837700175,19347398078,563750995,7543584,753071979,85506169,1253886178,598381316,494746262,86934483,71228778,269211912,144276695,47806094,642743703,46816489,297073868,176280721,119759035,636020932,195288752,35153017,308854777,27251391,66818312,185418645,151009675,242520824,31240749,46421059,20413351,67427377,171733478,56113534,304231363,160057228,11302792,22226470502,980661161,1818039175,2012146640,547945207,705312080,469130270,352783423,138245245,140951725,504058101,608198366,836255316,1156998298,2879522626,2272151150,20810977201
NT,29359771945,5681847,29484785,2137351424,1766055266,2373043548,4062705596,3868462692,4928514136,5681847,3800671,25684115,931116,1270673434,865746876,1,406962243,242009821,1117083204,1,192430248,676431405,656382657,847799241,1,212671710,1152477164,642086902,314977624,1740492200,1,754353463,580603826,488307045,278588369,703978318,1062631676,1,492791952,613565804,297873809,631747455,406328038,375691960,2110515124,10413632,5025299166,4995010801,3661126312,2531642053,3534481194,1997292029,3157208830,2512923996,727912836,1197235726,2078506929,1537352715,3100034816,3340278755,4755487039,10945239737
NG,26871805512,4958063,29310325,1000707556,2802898293,4070479617,6042863361,4633979994,3813272224,4958063,3294737,26015589,3650424,5763634,991293500,687618,127694670,273551094,2400964914,1193144,109565214,637832964,628105934,2693782365,1,469761621,273722765,321274998,173251184,4804852797,1,46773568,365807155,120233201,256762314,439608592,3404795169,1,51836875,137600756,22210061,110419120,109222271,170189658,3211793489,13783982,945317495,2828932848,3522989084,3394158129,5692776069,3659926260,3325000537,1825900797,91421738,223092616,279297366,963977045,851894228,1637710120,1811551168,20874734197
SE,26282488563,30523167,1952013639,2592331549,5026948065,3839988854,4783018903,3135032628,2508836715,30523167,1409813458,542200182,1042063929,624022358,926245264,675778542,30967450,643903654,3676298422,1416239071,85748293,572783699,1122486605,642731190,1352351889,15996267,314489869,946144949,691051291,1462984643,818400984,2705789,607179804,188673705,119511919,677029978,721530455,586369318,1752014,277150196,369038223,13107429,120931893,941560838,198926811,7674775085,1314872543,3699602594,6881326239,1755082919,2571202586,1695890731,384140891,220865324,1064320998,1069186961,1913061069,2763504262,1371489624,2859013059,6368273123,8369347697
