3-gram,*/*,3/*,4/*,5/*,6/*,7/*,8/*,9/*,3/1:3,4/1:3,4/2:4,5/1:3,5/2:4,5/3:5,6/1:3,6/2:4,6/3:5,6/4:6,7/1:3,7/2:4,7/3:5,7/4:6,7/5:7,8/1:3,8/2:4,8/3:5,8/4:6,8/5:7,8/6:8,9/1:3,9/2:4,9/3:5,9/4:6,9/5:7,9/6:8,9/7:9,*/1:3,*/2:4,*/3:5,*/4:6,*/5:7,*/6:8,*/7:9,*/8:10,*/9:11,*/-9:-7,*/-8:-6,*/-7:-5,*/-6:-4,*/-5:-3,*/-4:-2,*/-3:-1
THE,69221160872,53097401462,4574172951,6530290190,1502255640,1518012305,586269662,535683624,53097401462,4573107084,1065868,5125131234,1393771124,11387834,235320675,295566065,957095104,14273799,208657320,5748862,53590678,1242108745,7906704,88235496,10194879,70021743,199241980,218027013,548556,297374097,79917106,65194350,82737411,4775814,5535895,148957,63987613426,1789639632,1255329538,1633886823,331298450,102771991,84608685,28514496,5212951,347925812,252523746,420003691,503023576,5687185303,8461853268,53132956750
AND,26468697835,22632024505,615462780,411241159,483213023,658179699,632783410,407256076,22632024505,5929294,609533487,7627204,241953094,161660863,30647242,142493651,79531612,230540521,12696814,90637564,39900377,104312812,410632136,22832296,123032990,206497944,54022142,42702175,183695868,3453079,96994237,89832697,26961738,92605642,51979401,45429288,22717821844,1386455492,670162601,420273174,592568310,281982552,68796453,279479578,17283211,101879783,150069170,246470343,546605542,353622114,566912231,24442094580
ING,21289988295,15641530,299548337,1616518784,3060301019,5020693143,3857529136,3441710411,15641530,1857489,297690849,1577379,79812912,1535128495,5479024,222680778,334193374,2497947846,1901283,132452277,8933719,81781351,4795624517,3661580,43117968,47661036,15321933,360214466,3387552158,17090683,19509382,444627,31141542,39645668,133207294,3200671221,63886873,834555659,1926926679,2655429025,5490985966,3546725652,3306009030,1810383803,922504279,98752891,44289141,109157083,405851152,420774935,1104294471,19057418311
ION,20449402245,20251037,48265609,158272717,668516427,1268525703,2549198221,3150030119,20251037,16367443,31898167,5732656,10529087,142010976,1246577,3868943,30506362,632894548,2175209,14822395,770672,276034174,974723257,1243525,8315770,4602205,353348894,273181138,1908506694,116753,3745479,3346863,21378410,156112880,717740643,2247589097,52671165,76229377,181955641,1366731685,1502824451,3132624400,3260530581,4051920566,3372463282,24689380,174189525,289621648,293888733,1496814778,3928009623,14217686767
TIO,16819216215,411443,11374404,60454362,465975183,700854064,1891786810,2560273717,411443,11374404,1,3842651,1019457,55592256,1275653,282462,462538290,1878781,1,1,202868896,496311346,1673824,1,4205021,303838159,148196484,1434309427,1237723,1,800063,17270782,141757996,574805350,1825393660,245871,16904148,7347703,1121674736,840060598,2436445437,2682263877,3040733210,3293460912,1702171705,149352078,212459508,206940208,1245804844,3267743166,11638331333,61317621
ENT,15514431360,1996865,557806608,346626332,1324485282,2170619044,1860530624,2915108421,1996865,370129,557436480,104796794,46873166,194956374,122895117,310845811,279264766,611479591,93112773,480806821,8695572,218242401,1369761481,188056552,114836699,111815713,176030836,570539042,699251787,24370747,248698878,57719308,483347983,246997081,296787793,1557186637,691663934,1853509230,819827568,1832696485,2674538388,1299485588,2456379848,2198799704,1286979552,241610147,957897537,553342136,1657109839,1581802822,2351756685,7856896808
ATI,11778016774,436894,2053126,112287651,263674309,445833271,1231713797,1377644904,436894,1,2053126,1037887,110632427,617339,180937,245175136,17934017,384222,1,274386701,137495502,32969418,981653,1,443315260,32938641,694146944,58339692,2973264,1,61836954,27359558,221311032,1003728738,62316831,1091796,1655716,1288575501,307235399,1278938042,1421012939,1652392800,2837793044,1157585574,988372056,193601779,178278129,998176856,2008923527,7727956619,425237963,15956857
FOR,11352182253,6545282032,421347760,453706198,1358763727,669177691,316631771,594839540,6545282032,421108660,239101,452575384,929597,201219,540046691,745101,817971937,1,435959296,1,109257883,123960514,1,144035474,1,85889919,17958459,66054931,2692992,186746178,6953136,28731498,73432689,15945316,283030728,1,8878746847,11024301,1441248843,424584734,186105118,373376443,25918346,1586106,9591523,590059951,314125585,541987756,803280071,609734994,1734203782,6548415341
HER,10921772147,1633278705,486409758,3712631272,1528718181,1740608234,686262671,609593090,1633278705,481631149,4778610,18533270,2298390716,1395707288,79247918,13553977,310725046,1125191243,120154337,254786457,24453371,72046200,1269167873,41569455,35909771,35309263,56885664,290534272,226054251,23311775,303224671,109057697,58526665,16171040,76012563,23288685,2429181665,2970300051,1899395028,1350875096,1636439128,329551481,139557072,85338372,66016641,62429728,375208034,331359169,464561632,163759064,3669123935,5782710739
TER,10298054231,3656204,156753232,1869933276,1448862214,1554112826,1557563635,1206082673,3656204,155512354,1240879,198478088,13508750,1657946440,37619707,12634867,112102415,1286505228,22640548,44885926,159051175,614727133,712808048,69187102,19560288,799745763,176071210,133420931,359578346,72774178,11655230,507727114,146592581,83056703,118717079,265559794,642706628,124122444,4723973772,2318341057,1060242186,554912653,618181388,127404732,97060513,568098035,632219357,673662041,1134935167,728125588,1333300691,4435154827
HAT,9595332483,22695082,9274895869,20243238,19683551,20934018,175421481,28205116,22695082,45948025,9228947845,18614498,1506576,122166,16916166,2360400,275183,131805,7357996,11841724,1533752,200549,1,4877353,91321833,438869,3504842,5904480,69374109,1,6960152,319385,5158100,4726948,11040535,1,116914340,9359727769,2912360,14964848,11668972,85198784,1,370991,1764855,17475947,12967420,99582930,37210332,33083755,68230560,9321512043
THA,9447439871,2863985,9195687426,39244331,69100181,23673245,45094508,27724769,2863985,9195687426,1,35801355,1464954,1978024,38731821,4300461,14228465,11839437,6848163,4124743,4738413,6173294,1788636,20413521,1,6702627,4883576,10941705,2153083,2580730,247370,11378470,1987766,4312376,6987726,230337,9310286076,11841104,44490566,38019119,21451989,9931145,3516769,6764388,815500,5867652,32488923,24388765,52411111,55473677,9242827341,21267741
ERE,8939106850,6429479,2760769890,2316655229,217339156,568849858,683145086,1181680298,6429479,763799,2760006092,8627539,9147248,2298880444,655412,124906503,7599099,84178145,15793825,9735942,174621024,338335538,30363533,7783946,57820392,22001050,285675890,287605772,22258041,460850,19662770,278146324,234366418,399234752,171963658,77845532,40514844,3032372696,2825414177,1163028578,1098370508,204292714,424603813,122139602,24831594,56399677,163758407,601065443,504256831,1011714989,1174732937,5355721409
ATE,8757480214,12271399,516620479,1443682340,892469736,964461850,1258960991,1308408644,12271399,936816,515683664,145347,822570936,620966059,212171,96982382,536583963,258691223,470989,49978773,24625245,597313720,292073127,298679,222314606,105286265,119670983,292378249,519012214,114666,125742472,117035246,35743424,13441960,559357153,456973729,14936724,1924950881,1463913313,1053250741,670553686,1169936905,1145994297,526320570,611806270,60012985,188288079,398442000,251860084,570842722,3941382737,3304456320
HIS,8073090302,3611377790,3835362024,1915118,10776044,303624533,62454865,66550362,3611377790,8994065,3826367960,102580,1386928,425612,2395025,4180890,3272863,927269,280440950,15973220,1129055,1797690,4283622,31953208,9602393,1,2845013,18054254,1,34053007,15239858,176961,901834,3368588,12667196,142924,4100480590,3876045011,6720328,31101325,26741986,21541069,3118234,1985631,3842415,38185672,54966110,292488729,22958718,18718463,51098366,7443631067
CON,8068814779,21443111,29881424,37291453,390108651,1081109340,1406006497,1259994648,21443111,22920820,6960605,20825178,2913349,13552928,61861025,1203598,317155625,9888406,958623785,79055562,24546379,7700293,11183325,1167585181,217497758,16255009,2499428,1940722,228404,1125994144,51688945,61340541,20222773,512972,1,235278,6942160206,390714188,588104925,94153730,26884213,10805481,11534342,4222448,235254,1200083994,1234592420,1259498540,177799888,50973945,353964600,65560757
RES,7496974308,17054204,128509806,414343974,578251653,1219556424,1821291814,1108665147,17054204,119127637,9382170,21130996,304368663,88844317,280565778,7460821,152149884,138075173,435558721,398581589,28914469,179926544,176575105,586650178,345911296,61380202,2022103,442952848,382375192,341385101,322516911,32538131,247027220,87106618,6355042,71736130,2488030144,1588579025,398158319,1293792507,984171523,409011851,91789806,160141924,16758712,493656994,1061446259,1311283771,1100538460,151144316,1210267640,1110491541
VER,7415630372,3344668,1696237442,1100797917,392974333,1366720712,866552864,465957202,3344668,772012634,924224809,52063100,404944610,643790209,89549656,6424508,146967790,150032382,67666405,180100564,455728762,73874274,589350711,68558732,193833872,202353329,59609133,63954031,278243772,18284131,75780983,141230233,91384316,55386068,66456523,17434954,1103682719,2018007365,2199776904,816247990,752535093,443325356,56642176,20781239,4323235,348100572,603657405,770623691,602788139,716572209,1535961564,2622294830
ALL,7317964041,2062779103,475488487,993430298,747907843,842540467,483144662,582698721,2062779103,11459272,464029216,121189951,173321227,698919122,88617654,474420554,153693760,31175878,121202826,151872552,82778514,427303847,59382732,77477371,24736730,20306439,79947192,220650719,60026216,49735311,27690970,45459821,15952573,15780950,417053083,11026019,2582558511,1335970496,1045003062,572708514,321106330,501791850,379206064,191312959,188301190,72802297,155467411,208701930,292763952,781168392,2339293199,3394637729
ONS,7187472618,1139780,85670803,39786666,79584078,738144410,719267835,988918092,1139780,1,85670803,12666656,2906068,24213944,735787,12137467,1449009,65261818,1396241,87866579,5976406,2284444,640620744,283107,306196642,3327612,855778,105211718,303392983,1695406,182362815,9847645,1,52482223,193110,742336898,18171817,2040126323,48440431,258348466,956593256,305942828,923992568,693540718,711976746,418845622,232076300,447622340,222272955,84118526,112247921,4491765716
NCE,6936472581,254220,269934247,507096291,367278901,738727292,1186546813,1177977305,254220,140515,269793733,1,678559,506417733,1,2502839,80338217,284437847,1,3041907,181233642,68129559,486322187,1,10018892,104401424,20999366,176326835,874800300,1,50809377,138191152,20153273,1364361,224829292,742629855,394734,376855314,1291253635,410950231,687888071,1128358645,934728285,1264407544,422559030,57075318,189466102,201038839,128573065,207528651,1144993293,4863057594
MEN,6889167447,454094526,33147185,335838282,257908623,330859452,675400939,1104337003,454094526,27626448,5520738,8053321,5316597,322468366,86793401,1772166,152009265,17333794,48503221,13910023,51071293,182234319,35140600,24980045,4717916,28982251,187824177,388494967,40401588,99228156,31815567,35821186,44094866,201232928,635593754,56550552,765862024,74275925,649053908,540270420,695862986,1053843448,1740001150,1044975310,124251574,253320554,110695315,226463627,478854299,1131114765,3674092384,960403704
ITH,6795041999,2085198,5185166304,175138888,609770745,577111047,77003754,57117292,2085198,237151,5184929154,1,2794534,172344355,3802772,593535757,3775271,8656948,1,470718584,104191653,443717,1757096,1,42449618,24571518,655806,129929,9196887,1,21501755,2121631,302650,2402560,17838097,12950604,6125119,6345097522,340852209,16084000,25133220,40266067,15326953,4764789,962469,21204876,50918551,47794648,503588651,713478699,26892561,5395372282
TED,6610757135,5995868,524118,190384967,823773547,1256420376,1223825704,1537299378,5995868,1,524118,2424737,1,187960231,732283,1,1,823041265,4836081,604280,1,1,1250980017,161632,136607,193589,352889,299332,1222681660,149215,1,473100,1,4904395,180969,1531591703,14573100,1265003,189065697,823825213,1258029190,1248122535,1555132400,722922869,497930320,149215,322668,14008115,1530150,59055858,480300,6534659803
ERS,6524449180,1370595,15512469,89707162,1175869038,1742171258,955791935,786689451,1370595,550018,14962452,440401,34124792,55141971,1190589,295031775,2285650,877361027,1606476,268325887,12023420,62093096,1398122383,1,182516555,21747565,58820852,43382538,649324429,1275387,62849351,6973286,94111020,95787907,1,525692505,6674106,1067018432,107713145,1482786612,2049606790,689628375,565614531,319918339,95949773,98882971,161788974,446870092,839310992,469499965,171639689,4037623586
PRO,6441091674,25823682,31005339,156563030,240472385,1443599591,1842725801,743265760,25823682,31005339,1,153420172,2840387,302473,233922890,3982327,2412409,154762,1391967167,1925533,49706893,1,1,1608149875,2056857,231060089,1458983,1,1,706816956,1464391,28463316,5569925,848486,102691,1,5633112118,12640675,702049832,41738018,30015731,19147591,478006,1562423,1,884989815,1703216534,1448884594,486870896,212443117,36360823,26280915
THI,6357454846,1802809,3868518105,678184548,761935750,298951427,298191095,286981857,1802809,3868518105,1,673590330,4188312,405908,375222305,21583906,365129541,1,35056733,22136021,236822261,4316419,619997,119366862,5061350,6245275,164846516,2482758,188339,26790966,3727612,428137,5023494,248050481,2961172,1,5114570142,57257284,617184374,177309818,253857090,123230692,6401522,3687914,3573310,31991477,129219252,46734323,416970997,1457335838,4257549027,3017050
WIT,6270098258,12678644,5187849484,10278129,376408357,503190067,41192768,68185592,12678644,5187735448,114037,10278129,1,1,356600939,16936670,2552157,318594,501793316,532955,126091,737708,1,26834652,10780399,393459,1,3184261,1,46968194,8343102,1722074,323477,1,10828749,1,6176653263,50055945,7069854,20584461,3184261,11365752,1046766,137963,1,49819739,35650544,515800506,358387830,27340888,5206085084,13249235
ARE,6050931664,3700433334,473949071,365508472,367472017,359356216,478462921,119568541,3700433334,210505550,263443522,144075156,54525455,166907863,3602944,138467101,156453814,68948161,845318,146928565,26329418,43244242,142008677,734529,31876344,4278617,56398843,325898858,59275735,357421,66509649,31817348,9421630,3044016,672811,7745672,4060992855,727500708,401736251,238090884,476414548,60483380,33331270,26194181,24338392,19885573,70122766,125492189,176063772,379945807,818061325,4439093071
ESS,5961685249,965239,362926593,323025934,383024923,978221428,1001034761,1176990284,965239,3958712,358967882,34004596,9623800,279397540,22864362,91259983,3488400,265412181,23610874,167936245,82451154,2572321,701650838,2251389,40969518,166522533,55174826,4102303,732014197,74658903,22959210,29304727,322413632,463732242,1019996,262901580,202751791,699907253,568331777,790120366,1934867554,951913126,305128968,158798968,98026807,108911141,226417792,262912187,1361049096,832077979,24974742,3083434958
